#  step      rmse_val    rmse_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   2200      4.68e+01    3.28e+00      1.48e+00    1.04e-01    5.0e-04
   2210      5.26e+01    4.80e+00      1.66e+00    1.52e-01    5.0e-04
   2220      4.95e+01    1.60e+00      1.56e+00    5.06e-02    5.0e-04
   2230      5.15e+01    3.83e+00      1.63e+00    1.21e-01    5.0e-04
   2240      5.12e+01    4.08e+00      1.62e+00    1.29e-01    5.0e-04
   2250      4.70e+01    3.05e+00      1.49e+00    9.65e-02    5.0e-04
   2260      4.79e+01    2.80e+00      1.51e+00    8.84e-02    5.0e-04
   2270      5.02e+01    6.40e+00      1.59e+00    2.02e-01    5.0e-04
   2280      5.43e+01    4.88e+00      1.72e+00    1.54e-01    5.0e-04
   2290      5.28e+01    4.78e+00      1.67e+00    1.51e-01    5.0e-04
   2300      4.68e+01    4.53e+00      1.48e+00    1.43e-01    5.0e-04
   2310      5.27e+01    4.06e+00      1.67e+00    1.29e-01    5.0e-04
   2320      5.48e+01    3.41e+00      1.73e+00    1.08e-01    5.0e-04
   2330      3.99e+01    2.92e+00      1.26e+00    9.25e-02    5.0e-04
   2340      4.98e+01    5.37e+00      1.58e+00    1.70e-01    5.0e-04
   2350      4.99e+01    4.13e+00      1.58e+00    1.30e-01    5.0e-04
   2360      5.24e+01    3.16e+00      1.66e+00    9.98e-02    5.0e-04
   2370      4.88e+01    7.18e+00      1.54e+00    2.27e-01    5.0e-04
   2380      5.79e+01    4.76e+00      1.83e+00    1.51e-01    5.0e-04
   2390      4.51e+01    3.87e+00      1.43e+00    1.23e-01    5.0e-04
   2400      4.36e+01    6.53e+00      1.38e+00    2.07e-01    5.0e-04
   2410      4.84e+01    5.59e+00      1.53e+00    1.77e-01    5.0e-04
   2420      5.22e+01    3.22e+00      1.65e+00    1.02e-01    5.0e-04
   2430      4.53e+01    7.00e+00      1.43e+00    2.21e-01    5.0e-04
   2440      5.55e+01    4.91e+00      1.76e+00    1.55e-01    5.0e-04
   2450      4.25e+01    1.26e+01      1.34e+00    3.97e-01    5.0e-04
   2460      5.17e+01    9.94e+00      1.63e+00    3.14e-01    5.0e-04
   2470      4.91e+01    3.90e+00      1.55e+00    1.23e-01    5.0e-04
   2480      5.24e+01    6.18e+00      1.66e+00    1.95e-01    5.0e-04
   2490      4.72e+01    8.17e+00      1.49e+00    2.58e-01    5.0e-04
   2500      4.65e+01    5.39e+00      1.47e+00    1.70e-01    5.0e-04
   2510      4.76e+01    5.85e+00      1.50e+00    1.85e-01    5.0e-04
   2520      4.70e+01    4.02e+00      1.49e+00    1.27e-01    5.0e-04
   2530      5.55e+01    3.58e+00      1.75e+00    1.13e-01    5.0e-04
   2540      5.19e+01    5.38e+00      1.64e+00    1.70e-01    5.0e-04
   2550      6.39e+01    4.86e+00      2.02e+00    1.54e-01    5.0e-04
   2560      4.93e+01    5.05e+00      1.56e+00    1.60e-01    5.0e-04
   2570      4.96e+01    4.05e+00      1.57e+00    1.28e-01    5.0e-04
   2580      4.66e+01    5.60e+00      1.47e+00    1.77e-01    5.0e-04
   2590      4.41e+01    6.05e+00      1.39e+00    1.91e-01    5.0e-04
   2600      5.67e+01    6.33e+00      1.79e+00    2.00e-01    5.0e-04
   2610      4.73e+01    4.58e+00      1.50e+00    1.45e-01    5.0e-04
   2620      4.97e+01    4.74e+00      1.57e+00    1.50e-01    5.0e-04
   2630      4.27e+01    5.61e+00      1.35e+00    1.77e-01    5.0e-04
   2640      5.42e+01    4.05e+00      1.72e+00    1.28e-01    5.0e-04
   2650      4.49e+01    4.26e+00      1.42e+00    1.35e-01    5.0e-04
   2660      4.68e+01    5.26e+00      1.48e+00    1.66e-01    5.0e-04
   2670      4.54e+01    1.03e+01      1.44e+00    3.24e-01    5.0e-04
   2680      4.84e+01    5.07e+00      1.53e+00    1.60e-01    5.0e-04
   2690      4.56e+01    3.62e+00      1.44e+00    1.14e-01    5.0e-04
   2700      4.40e+01    4.31e+00      1.39e+00    1.36e-01    5.0e-04
   2710      5.05e+01    2.88e+00      1.60e+00    9.10e-02    5.0e-04
   2720      5.04e+01    3.41e+00      1.60e+00    1.08e-01    5.0e-04
   2730      5.18e+01    5.66e+00      1.64e+00    1.79e-01    5.0e-04
   2740      4.17e+01    3.48e+00      1.32e+00    1.10e-01    5.0e-04
   2750      4.24e+01    3.46e+00      1.34e+00    1.09e-01    5.0e-04
   2760      5.70e+01    4.66e+00      1.80e+00    1.47e-01    5.0e-04
   2770      5.17e+01    3.61e+00      1.63e+00    1.14e-01    5.0e-04
   2780      5.11e+01    3.77e+00      1.62e+00    1.19e-01    5.0e-04
   2790      4.83e+01    3.39e+00      1.53e+00    1.07e-01    5.0e-04
   2800      4.74e+01    5.31e+00      1.50e+00    1.68e-01    5.0e-04
   2810      4.48e+01    4.46e+00      1.42e+00    1.41e-01    5.0e-04
   2820      4.96e+01    2.93e+00      1.57e+00    9.26e-02    5.0e-04
   2830      5.37e+01    3.71e+00      1.70e+00    1.17e-01    5.0e-04
   2840      5.09e+01    4.68e+00      1.61e+00    1.48e-01    5.0e-04
   2850      5.00e+01    4.55e+00      1.58e+00    1.44e-01    5.0e-04
   2860      4.61e+01    6.48e+00      1.46e+00    2.05e-01    5.0e-04
   2870      4.83e+01    3.79e+00      1.53e+00    1.20e-01    5.0e-04
   2880      4.28e+01    5.61e+00      1.35e+00    1.78e-01    5.0e-04
   2890      4.36e+01    4.53e+00      1.38e+00    1.43e-01    5.0e-04
   2900      5.41e+01    4.92e+00      1.71e+00    1.56e-01    5.0e-04
   2910      4.45e+01    3.06e+00      1.41e+00    9.67e-02    5.0e-04
   2920      5.14e+01    3.32e+00      1.63e+00    1.05e-01    5.0e-04
   2930      4.45e+01    3.75e+00      1.41e+00    1.19e-01    5.0e-04
   2940      4.69e+01    6.07e+00      1.48e+00    1.92e-01    5.0e-04
   2950      5.07e+01    2.27e+00      1.60e+00    7.18e-02    5.0e-04
   2960      5.03e+01    5.08e+00      1.59e+00    1.61e-01    5.0e-04
   2970      4.86e+01    4.74e+00      1.54e+00    1.50e-01    5.0e-04
   2980      4.71e+01    3.25e+00      1.49e+00    1.03e-01    5.0e-04
   2990      4.67e+01    2.35e+00      1.48e+00    7.42e-02    5.0e-04
   3000      4.57e+01    3.05e+00      1.44e+00    9.64e-02    5.0e-04
   3010      5.27e+01    3.82e+00      1.67e+00    1.21e-01    5.0e-04
   3020      4.31e+01    9.77e+00      1.36e+00    3.09e-01    5.0e-04
